Source,Target,Weight
3915621,3912133,2.0
3915621,3912697,3.0
3914305,3912127,4.0
3914305,3912133,1.0
3914305,3915971,1.0
3914305,3914191,1.0
3914305,3913893,5.0
3914305,3914186,2.0
3914272,3914305,1.0
3914272,3912127,1.0
3914272,3913893,1.0
3915871,3915621,2.0
3915871,3912697,1.0
3912127,3915621,1.0
3912127,3912509,1.0
3912127,3915871,1.0
3912127,3912697,8.0
3912127,3917878,1.0
3912127,3912758,1.0
3912127,3912188,1.0
3912127,3914186,1.0
3913904,3912127,1.0
3912133,3915871,2.0
3912133,3912127,2.0
3912133,3912141,1.0
3912133,3912188,1.0
3913022,3912141,2.0
3913022,3915076,1.0
3913022,3912323,1.0
3912692,3912697,1.0
3912697,3914305,3.0
3912697,3913673,1.0
3912697,3912133,3.0
3912697,3913022,3.0
3912697,3914191,1.0
3912697,3917878,1.0
3912697,3912818,2.0
3912697,3912758,2.0
3912697,3913893,4.0
3912697,3913745,2.0
3912697,3915016,1.0
3912697,3915076,1.0
3912697,3912420,1.0
3912697,3914186,2.0
3912697,3912323,13.0
3915971,3912127,1.0
3915971,3914186,1.0
3914191,3912127,1.0
3914191,3915971,1.0
3914191,3914186,1.0
3917878,3912141,1.0
3912780,3912127,1.0
3912780,3913022,1.0
3912780,3912697,2.0
3912780,3912818,1.0
3912780,3912758,3.0
3912780,3912323,1.0
3912758,3913022,1.0
3912758,3912818,1.0
3912758,3912323,1.0
3912141,3913673,1.0
3912141,3912127,3.0
3912141,3912697,4.0
3912141,3912780,1.0
3912141,3912758,2.0
3912141,3915016,1.0
3912141,3915076,1.0
3912141,3912188,1.0
3913893,3912127,4.0
3913893,3912133,1.0
3913893,3915971,1.0
3913893,3914191,1.0
3913893,3912323,2.0
3913745,3914191,1.0
3913745,3914186,1.0
3912188,3912323,1.0
3912420,3912509,1.0
3912420,3912127,3.0
3912420,3913022,1.0
3912420,3912780,1.0
3912420,3912758,2.0
3912420,3912141,3.0
3914186,3912133,1.0
3914186,3913893,1.0
3912323,3915621,3.0
3912323,3914305,3.0
3912323,3913673,1.0
3912323,3915871,1.0
3912323,3912127,5.0
3912323,3912133,6.0
3912323,3912141,2.0
3912323,3912420,2.0
3912323,3914186,1.0
